SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Ba,Nb,Sr,Zr,Ba/Zr,Nb/Zr,Label
63.97,0.5,15.28,4.5,0.16,0.6,2.51,5.14,1.45,0.12,31,471,5,254,170,2.770588235,0.029411765,Barren
66.61,0.51,15.31,4.42,0.16,0.62,2.62,5.52,1.51,0.12,31,446,5,260,173,2.578034682,0.028901734,Barren
57.51,1.18,17.8,7.32,0.18,2.06,4.98,4.17,0.81,0.22,17,342,4,412,118,2.898305085,0.033898305,Barren
59.33,1.13,16.73,6.85,0.18,2.08,5.08,4.56,0.99,0.27,19,334,4,397,105,3.180952381,0.038095238,Barren
65.88,0.48,14.9,4.27,0.16,0.56,2.39,5.05,1.57,0.11,35,461,6,237,174,2.649425287,0.034482759,Barren
60.02,1.21,16.81,7.11,0.18,2.38,5.57,4.68,0.96,0.3,19,321,4,419,102,3.147058824,0.039215686,Barren
57.75,1.1,17.49,7.2,0.18,2.04,4.92,4,0.89,0.19,23,356,3,390,123,2.894308943,0.024390244,Barren
52.23,1.17,17.62,9.09,0.17,5.06,9.2,3.26,0.72,0.25,15.3,205,1.8,458,98,2.091836735,0.018367347,Barren
51.93,1.03,17.79,8.89,0.15,5.96,9.72,3.05,0.57,0.19,11.8,190,1.6,461,78,2.435897436,0.020512821,Barren
51.89,1.02,17.86,8.84,0.16,5.93,9.7,3.04,0.58,0.21,11.5,165,1.4,461,78,2.115384615,0.017948718,Barren
51.22,0.99,18.35,8.51,0.16,5.69,10.05,3.1,0.54,0.2,10.5,171,1.5,491,69,2.47826087,0.02173913,Barren
52.58,1.11,17.37,8.86,0.17,5.35,9.14,3.26,0.73,0.22,15.8,215,1.6,457,92,2.336956522,0.017391304,Barren
52.01,1.02,17.82,8.76,0.15,6.09,9.62,3.11,0.61,0.17,13.7,215,1.7,483,78,2.756410256,0.021794872,Barren
51.77,1.03,17.78,8.68,0.18,5.65,9.49,3.54,0.65,0.22,14.1,203,2.6,468,81,2.50617284,0.032098765,Barren
52.54,1.19,17.68,9.12,0.16,5.22,9.19,3.32,0.72,0.26,15.5,237,2.4,457,103,2.300970874,0.023300971,Barren
52.21,1.26,17.58,9,0.17,5.12,9.1,3.25,0.71,0.25,15.6,227,2.6,456,102,2.225490196,0.025490196,Barren
53.35,1.17,17.56,9.09,0.16,5.26,9.15,3.35,0.71,0.24,15.3,215,3,449,99,2.171717172,0.03030303,Barren
52.22,1.19,17.58,9.16,0.16,5.2,9.13,3.26,0.72,0.28,15.3,220,2.4,451,97,2.268041237,0.024742268,Barren
52.72,0.75,18.55,7.86,0.15,5.45,9.71,3.02,0.68,0.15,16.1,187,1.8,483,62,3.016129032,0.029032258,Barren
51.95,1.1,17.7,8.72,0.17,5.49,9.5,3.15,0.64,0.22,13.7,190,2.2,477,80,2.375,0.0275,Barren
54.31,1.15,17.46,9.01,0.16,3.76,8.47,3.78,0.69,0.21,13.4,210,2.02,453,81,2.592592593,0.024938272,Barren
52.02,1.07,18.11,8.93,0.16,4.96,9.66,3.3,0.6,0.2,11.6,188,1.99,478,79,2.379746835,0.025189873,Barren
51.66,1.03,17.73,9.02,0.16,5.91,9.54,3.13,0.62,0.2,12.7,195,2.03,487,73,2.671232877,0.027808219,Barren
72.97,0.12,13.62,1.12,0.05,0.12,0.52,3.68,4.33,0.01,180,150,37,48,119,1.260504202,0.31092437,Barren
51.98,1.04,17.66,9.01,0.16,5.67,9.49,3.13,0.66,0.19,14,205,2.14,477,78,2.628205128,0.027435897,Barren
53.09,1.11,17.89,9.07,0.16,4.2,9.45,3.25,0.57,0.19,11.4,189,1.91,468,70,2.7,0.027285714,Barren
54.92,1.35,16.41,9.94,0.18,3.63,7.55,3.91,0.76,0.25,14.9,238,2.68,455,96,2.479166667,0.027916667,Barren
56.61,1.23,16.22,9.23,0.18,3.25,6.83,4.33,0.85,0.25,17.3,259,2.78,425,107,2.420560748,0.025981308,Barren
52.72,0.99,19.2,8.23,0.14,3.86,9.93,3.32,0.52,0.17,9.5,169,1.61,483,65,2.6,0.024769231,Barren
52.36,0.92,21.06,7.33,0.13,3.14,10.35,3.19,0.53,0.16,10.1,166,1.59,512,64,2.59375,0.02484375,Barren
52.61,1.1,18.14,8.96,0.16,4.4,9.55,3.28,0.6,0.19,12.6,189,1.84,436,76,2.486842105,0.024210526,Barren
54.62,1.43,15.95,10.25,0.18,3.87,7.58,3.76,0.94,0.27,20.6,278,2.86,414,119,2.336134454,0.024033613,Barren
51.31,1.17,17.44,10.12,0.17,5.58,9.01,3.32,0.55,0.2,10.9,188,1.87,449,75,2.506666667,0.024933333,Barren
54.6,1.06,17.05,8.76,0.15,4.41,8.39,3.48,0.93,0.2,22.2,256,2.24,453,88,2.909090909,0.025454545,Barren
56.61,1.23,16.22,10.26,0.18,3.25,6.8,4.33,0.85,0.25,17.3,259,2.78,425,107,2.420560748,0.025981308,Barren
52.36,0.92,21.06,8.15,0.13,3.14,10.35,3.19,0.53,0.16,10.1,166,1.59,512,64,2.59375,0.02484375,Barren
54.62,1.43,15.95,11.39,0.18,3.87,7.58,3.76,0.94,0.27,20,269,2.76,414,115,2.339130435,0.024,Barren
51.31,1.17,17.44,11.25,0.17,5.58,9.01,3.32,0.55,0.2,10.9,188,1.87,449,74.5,2.523489933,0.025100671,Barren
54.6,1.06,17.05,9.74,0.15,4.41,8.39,3.48,0.93,0.2,22.2,256,2.24,453,87.8,2.91571754,0.025512528,Barren
63.09,0.77,15.9,5.91,0.16,1.48,4.04,5.18,1.37,0.2,34,337,4,346,140,2.407142857,0.028571429,Barren
66.82,0.42,14.72,4.1,0.15,0.39,2.19,5.53,1.7,0.1,41,485,9,227,184,2.635869565,0.048913043,Barren
66.04,0.45,14.98,4.28,0.16,0.57,2.35,5.6,1.62,0.11,40,478,8,251,175,2.731428571,0.045714286,Barren
66.45,0.46,14.91,4.28,0.16,0.48,2.34,5.57,1.65,0.12,38,449,9,244,179,2.508379888,0.05027933,Barren
66.53,0.48,15.14,4.45,0.15,0.59,2.51,5.63,1.61,0.11,36,441,9,248,174,2.534482759,0.051724138,Barren
59.36,1.16,16.74,7.45,0.17,2.42,5.49,4.87,1,0.31,24,309,4,448,117,2.641025641,0.034188034,Barren
51.89,1.06,17.45,9.23,0.16,5.74,9.43,3.17,0.64,0.2,13.4,193,2.05,461,83,2.325301205,0.024698795,Barren
51.64,1.11,18.21,9.43,0.17,5.21,9.16,3.43,0.43,0.16,7.6,194,1.99,492,76,2.552631579,0.026184211,Barren
50.91,1.1,18.15,8.36,0.15,6.45,9.18,3.48,0.71,0.31,9.8,288,3.2,837,97.4,2.95687885,0.032854209,Barren
49.93,1.18,19.7,9.09,0.19,5.44,9.02,3.45,0.64,0.33,8.5,236,3.21,754,95,2.484210526,0.033789474,Barren
50.34,1.18,19.45,8.95,0.17,5.22,9.16,3.53,0.67,0.34,8.5,239,3.17,763,93,2.569892473,0.034086022,Barren
50.5,1.18,19.35,8.97,0.18,5.38,9.11,3.31,0.67,0.35,8.7,238,3.2,744,94,2.531914894,0.034042553,Barren
50.09,1.22,19.32,9.33,0.16,5.7,8.72,3.41,0.68,0.33,8.5,235,3.19,699,95,2.473684211,0.033578947,Barren
